uid,prize
17370,facemask
325755,score_10000
43348,folder
86662,minecraft
26115,badge
236731,facemask
142188,score_10000
155126,badge
494801,postcard
405343,package
36653,folder
177879,postcard
407479,score_10000
14717,package
482110,facemask
429662,badge
133599,postcard
263574,package
101950,score_10000
214339,skin
114664,postcard
264285,folder
268338,score_10000
274271,postcard
